Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,32.965000,32.987499,32.775002,32.945000,29.692596,122933200
2015-05-29,32.807499,32.862499,32.474998,32.570000,29.354616,203538000
2015-06-01,32.570000,32.847500,32.512501,32.634998,29.413195,128451200
2015-06-02,32.465000,32.665001,32.330002,32.490002,29.282515,134670400
2015-06-03,32.665001,32.735001,32.474998,32.529999,29.318565,123934000
2015-06-04,32.395000,32.645000,32.227501,32.340000,29.147324,153800400
2015-06-05,32.375000,32.422501,32.090000,32.162498,28.987347,142507200
2015-06-08,32.224998,32.302502,31.707500,31.950001,28.795830,210699200
2015-06-09,31.674999,32.020000,31.405001,31.855000,28.710207,224301600
2015-06-10,31.980000,32.334999,31.962500,32.220001,29.039175,156349200
2015-06-11,32.294998,32.544998,32.119999,32.147499,28.973833,141563600
2015-06-12,32.047501,32.082500,31.777500,31.792500,28.653873,147544800
2015-06-15,31.525000,31.809999,31.427500,31.730000,28.597544,175955600
2015-06-16,31.757500,31.962500,31.592501,31.900000,28.750761,125976400
2015-06-17,31.930000,31.969999,31.684999,31.825001,28.683165,131672400
2015-06-18,31.807501,32.077499,31.805000,31.969999,28.813850,141628800
2015-06-19,31.927500,31.955000,31.600000,31.650000,28.525440,218867600
2015-06-22,31.872499,32.014999,31.770000,31.902500,28.753021,136157200
2015-06-23,31.870001,31.902500,31.719999,31.757500,28.622332,121075600
2015-06-24,31.802500,32.450001,31.780001,32.027500,28.865677,221123600
2015-06-25,32.215000,32.299999,31.875000,31.875000,28.728228,127752400
2015-06-26,31.917500,31.997499,31.627501,31.687500,28.559240,176267200
2015-06-29,31.365000,31.617500,31.120001,31.132500,28.059031,196645600
2015-06-30,31.392500,31.530001,31.215000,31.357500,28.261820,177482800
2015-07-01,31.725000,31.735001,31.497499,31.650000,28.525440,120955200
2015-07-02,31.607500,31.672501,31.442499,31.610001,28.489389,108844000
2015-07-06,31.235001,31.557501,31.212500,31.500000,28.390251,112241600
2015-07-07,31.472500,31.537500,30.942499,31.422501,28.320408,187787200
2015-07-08,31.120001,31.160000,30.635000,30.642500,27.617405,243046400
2015-07-09,30.962500,31.014999,29.805000,30.017500,27.054104,314380000
2015-07-10,30.485001,30.962500,30.302500,30.820000,27.777384,245418000
2015-07-13,31.257500,31.440001,31.080000,31.415001,28.313643,165762000
2015-07-14,31.510000,31.592501,31.260000,31.402500,28.302378,127072400
2015-07-15,31.430000,31.787500,31.395000,31.705000,28.575010,134596800
2015-07-16,31.934999,32.142502,31.837500,32.127499,28.955799,144889600
2015-07-17,32.270000,32.404999,32.077499,32.404999,29.205908,184658800
2015-07-20,32.742500,33.242500,32.674999,33.017502,29.757944,235600800
2015-07-21,33.212502,33.230000,32.580002,32.687500,29.460516,307025600
2015-07-22,30.497499,31.375000,30.497499,31.305000,28.214499,461802400
2015-07-23,31.549999,31.772499,31.264999,31.290001,28.200983,203998000
2015-07-24,31.330000,31.434999,30.975000,31.125000,28.052269,168649200
2015-07-27,30.772499,30.902500,30.530001,30.692499,27.662468,177822000
2015-07-28,30.844999,30.977501,30.637501,30.844999,27.799911,134472400
2015-07-29,30.787500,30.875000,30.567499,30.747499,27.712038,148046800
2015-07-30,30.580000,30.642500,30.427500,30.592501,27.572346,134513200
2015-07-31,30.650000,30.660000,30.227501,30.325001,27.331244,171540000
2015-08-03,30.375000,30.642500,29.379999,29.610001,26.686832,279904000
2015-08-04,29.355000,29.424999,28.312500,28.660000,25.830624,496554400
2015-08-05,28.237499,29.360001,28.025000,28.850000,26.001865,397250400
2015-08-06,28.992500,29.125000,28.530001,28.782499,26.058445,211612000
2015-08-07,28.645000,29.062500,28.625000,28.879999,26.146721,154681600
2015-08-10,29.132500,29.997499,29.132500,29.930000,27.097347,219806400
2015-08-11,29.452499,29.545000,28.332500,28.372499,25.687254,388331200
2015-08-12,28.132500,28.855000,27.407499,28.809999,26.083344,404870000
2015-08-13,29.010000,29.100000,28.635000,28.787500,26.062977,194143200
2015-08-14,28.580000,29.077499,28.502501,28.990000,26.246311,171718000
2015-08-17,29.010000,29.412500,28.875000,29.290001,26.517923,163538800
2015-08-18,29.107500,29.360001,29.002501,29.125000,26.368532,138242800
2015-08-19,29.025000,29.129999,28.670000,28.752501,26.031288,193146000
2015-08-20,28.520000,28.587500,27.907499,28.162500,25.497133,274006400
2015-08-21,27.607500,27.975000,26.412500,26.440001,23.937651,513102000
2015-08-24,23.717501,27.200001,23.000000,25.780001,23.340118,648825200
2015-08-25,27.777500,27.777500,25.875000,25.934999,23.480448,414406400
2015-08-26,26.772499,27.472500,26.262501,27.422501,24.827162,387098400
2015-08-27,28.057501,28.309999,27.504999,28.230000,25.558239,338464400
2015-08-28,28.042500,28.327499,27.885000,28.322500,25.641989,212657600
2015-08-31,28.007500,28.632500,28.000000,28.190001,25.522028,224917200
2015-09-01,27.537500,27.969999,26.840000,26.930000,24.381271,307383600
2015-09-02,27.557501,28.084999,27.282499,28.084999,25.426968,247555200
2015-09-03,28.122499,28.195000,27.510000,27.592501,24.981079,212935600
2015-09-04,27.242500,27.612499,27.127501,27.317499,24.732098,199985200
2015-09-08,27.937500,28.139999,27.580000,28.077499,25.420172,219374400
2015-09-09,28.440001,28.504999,27.442499,27.537500,24.931278,340043200
2015-09-10,27.567499,28.320000,27.475000,28.142500,25.479019,251571200
2015-09-11,27.947500,28.552500,27.940001,28.552500,25.850222,199662000
2015-09-14,29.145000,29.222500,28.715000,28.827499,26.099194,233453600
2015-09-15,28.982500,29.132500,28.605000,29.070000,26.318739,173364800
2015-09-16,29.062500,29.135000,28.860001,29.102501,26.348166,148694000
2015-09-17,28.915001,29.122499,28.430000,28.480000,25.784582,256450400
2015-09-18,28.052500,28.575001,27.967501,28.362499,25.678202,297141200
2015-09-21,28.417500,28.842501,28.415001,28.802500,26.076550,200888000
2015-09-22,28.344999,28.545000,28.129999,28.350000,25.666885,201384800
2015-09-23,28.407499,28.680000,28.325001,28.580000,25.875111,143026800
2015-09-24,28.312500,28.875000,28.092501,28.750000,26.029024,200878000
2015-09-25,29.110001,29.172501,28.504999,28.677500,25.963390,224607600
2015-09-28,28.462500,28.642500,28.110001,28.110001,25.449602,208436000
2015-09-29,28.207500,28.377501,26.965000,27.264999,24.684566,293461600
2015-09-30,27.542500,27.885000,27.182501,27.575001,24.965231,265892000
2015-10-01,27.267500,27.405001,26.827499,27.395000,24.802273,255716400
2015-10-02,27.002501,27.752501,26.887501,27.594999,24.983337,232079200
2015-10-05,27.469999,27.842501,27.267500,27.695000,25.073874,208258800
2015-10-06,27.657499,27.934999,27.442499,27.827499,25.193832,192787200
